date,adj_close,close,high,low,open,volume,ret_1d,logret_1d,adj_close_lag1,volume_lag1,ma_5,ma_20,ma_60,vol_20,hl_range,close_pos_range,target_adj_close_tplus1
1990-03-27,341.5,341.5,341.5,337.0299987792969,337.6300048828125,131610000,0.011462236949381088,0.011397043215822578,337.6300048828125,116110000.0,338.3559997558594,337.7695007324219,336.35800120035805,0.007166900040279526,0.013262917950607396,1.0,342.0
1990-03-28,342.0,342.0,342.5799865722656,340.6000061035156,341.5,142300000,0.0014641288433381305,0.0014630580517600578,341.5,131610000.0,338.80800170898436,338.275,336.0631678263346,0.0071259630917789255,0.0058132132509364715,0.7070745992601726,340.7900085449219
1990-03-29,340.7900085449219,340.7900085449219,342.07000732421875,339.7699890136719,342.0,132190000,-0.0035379867107547813,-0.0035442601870920853,342.0,142300000.0,339.8280029296875,338.67750091552733,335.7636678059896,0.007208459963239482,0.0067693392145188125,0.443483222099858,339.94000244140625
1990-03-30,339.94000244140625,339.94000244140625,341.4100036621094,338.2099914550781,340.7900085449219,139340000,-0.0024942224895175835,-0.0024973382444333225,340.7900085449219,132190000.0,340.37200317382815,338.8975006103516,335.50150095621746,0.00704637859162948,0.009461613458738647,0.5406263709016003,338.70001220703125
1990-04-02,338.70001220703125,338.70001220703125,339.94000244140625,336.3299865722656,339.94000244140625,124360000,-0.003647673782048444,-0.0036543427665174377,339.94000244140625,139340000.0,340.58600463867185,339.1455017089844,335.27650095621743,0.006978926077899499,0.010733553394784672,0.6565139103750856,343.6400146484375
1990-04-03,343.6400146484375,343.6400146484375,343.760009765625,338.70001220703125,338.70001220703125,154310000,0.01458518530665609,0.014479844532569786,338.70001220703125,124360000.0,341.0140075683594,339.4310028076172,335.107334391276,0.007168089749091192,0.01493946671457695,0.976285538520922,341.0899963378906
1990-04-04,341.0899963378906,341.0899963378906,344.1199951171875,340.3999938964844,343.6400146484375,159530000,-0.007420609364004571,-0.0074482790546310795,343.6400146484375,154310000.0,340.8320068359375,339.6380020141602,334.96516774495444,0.007362325909492801,0.010928323406005634,0.18548446639375865,340.7300109863281
1990-04-05,340.7300109863281,340.7300109863281,342.8500061035156,340.6300048828125,341.0899963378906,144170000,-0.0010553969785905837,-0.001055954302148443,341.0899963378906,159530000.0,340.82000732421875,339.66100311279297,334.8555013020833,0.007042050590268021,0.0065173390155892925,0.0450477696061585,340.0799865722656
1990-04-06,340.0799865722656,340.0799865722656,341.7300109863281,338.94000244140625,340.7300109863281,137490000,-0.0019077404194037806,-0.0019095624738643124,340.7300109863281,144170000.0,340.84800415039064,339.7685028076172,334.71466776529945,0.0068684130560233885,0.008231570557695366,0.4085952112706868,341.3699951171875
1990-04-09,341.3699951171875,341.3699951171875,341.8299865722656,339.8800048828125,340.0799865722656,114970000,0.0037932503994844158,0.003786074166960418,340.0799865722656,137490000.0,341.3820007324219,339.9035018920898,334.73866780598956,0.006900551340032807,0.005737265097796679,0.7641047310515361,342.07000732421875
