date,target_adj_close_tplus1
1990-03-27,342.0
1990-03-28,340.7900085449219
1990-03-29,339.94000244140625
1990-03-30,338.70001220703125
1990-04-02,343.6400146484375
1990-04-03,341.0899963378906
1990-04-04,340.7300109863281
1990-04-05,340.0799865722656
1990-04-06,341.3699951171875
1990-04-09,342.07000732421875
1990-04-10,341.9200134277344
1990-04-11,344.3399963378906
1990-04-12,344.739990234375
1990-04-16,344.67999267578125
1990-04-17,340.7200012207031
1990-04-18,338.0899963378906
1990-04-19,335.1199951171875
1990-04-20,331.04998779296875
1990-04-23,330.3599853515625
1990-04-24,332.0299987792969
1990-04-25,332.9200134277344
1990-04-26,329.1099853515625
1990-04-27,330.79998779296875
1990-04-30,332.25
1990-05-01,334.4800109863281
1990-05-02,335.57000732421875
1990-05-03,338.3900146484375
1990-05-04,340.5299987792969
1990-05-07,342.010009765625
1990-05-08,342.8599853515625
1990-05-09,343.82000732421875
1990-05-10,352.0
1990-05-11,354.75
1990-05-14,354.2799987792969
1990-05-15,354.0
1990-05-16,354.4700012207031
1990-05-17,354.6400146484375
1990-05-18,358.0
1990-05-21,358.42999267578125
1990-05-22,359.2900085449219
1990-05-23,358.4100036621094
1990-05-24,354.5799865722656
1990-05-25,360.6499938964844
1990-05-29,360.8599853515625
1990-05-30,361.2300109863281
1990-05-31,363.1600036621094
1990-06-01,367.3999938964844
1990-06-04,366.6400146484375
1990-06-05,364.9599914550781
1990-06-06,363.1499938964844
1990-06-07,358.7099914550781
1990-06-08,361.6300048828125
1990-06-11,366.25
1990-06-12,364.8999938964844
1990-06-13,362.8999938964844
1990-06-14,362.9100036621094
1990-06-15,356.8800048828125
1990-06-18,358.4700012207031
1990-06-19,359.1000061035156
1990-06-20,360.4700012207031
1990-06-21,355.42999267578125
1990-06-22,352.30999755859375
1990-06-25,352.05999755859375
1990-06-26,355.1400146484375
1990-06-27,357.6300048828125
1990-06-28,358.0199890136719
1990-06-29,359.5400085449219
1990-07-02,360.1600036621094
1990-07-03,355.67999267578125
1990-07-05,358.4200134277344
1990-07-06,359.5199890136719
1990-07-09,356.489990234375
1990-07-10,361.2300109863281
1990-07-11,365.44000244140625
1990-07-12,367.30999755859375
1990-07-13,368.95001220703125
1990-07-16,367.5199890136719
1990-07-17,364.2200012207031
1990-07-18,365.32000732421875
1990-07-19,361.6099853515625
1990-07-20,355.30999755859375
1990-07-23,355.7900085449219
1990-07-24,357.0899963378906
1990-07-25,355.9100036621094
1990-07-26,353.44000244140625
1990-07-27,355.54998779296875
1990-07-30,356.1499938964844
1990-07-31,355.5199890136719
1990-08-01,351.4800109863281
1990-08-02,344.8599853515625
1990-08-03,334.42999267578125
1990-08-06,334.8299865722656
1990-08-07,338.3500061035156
1990-08-08,339.94000244140625
1990-08-09,335.5199890136719
1990-08-10,338.8399963378906
1990-08-13,339.3900146484375
1990-08-14,340.05999755859375
1990-08-15,332.3900146484375
1990-08-16,327.8299865722656
1990-08-17,328.510009765625
1990-08-20,321.8599853515625
1990-08-21,316.54998779296875
1990-08-22,307.05999755859375
1990-08-23,311.510009765625
1990-08-24,321.44000244140625
1990-08-27,321.3399963378906
1990-08-28,324.19000244140625
1990-08-29,318.7099914550781
1990-08-30,322.55999755859375
1990-08-31,323.0899963378906
1990-09-04,324.3900146484375
1990-09-05,320.4599914550781
1990-09-06,323.3999938964844
1990-09-07,321.6300048828125
1990-09-10,321.0400085449219
1990-09-11,322.5400085449219
1990-09-12,318.6499938964844
1990-09-13,316.8299865722656
1990-09-14,317.7699890136719
1990-09-17,318.6000061035156
1990-09-18,316.6000061035156
1990-09-19,311.4800109863281
1990-09-20,311.32000732421875
1990-09-21,304.5899963378906
1990-09-24,308.260009765625
1990-09-25,305.05999755859375
1990-09-26,300.9700012207031
1990-09-27,306.04998779296875
1990-09-28,314.94000244140625
1990-10-01,315.2099914550781
1990-10-02,311.3999938964844
1990-10-03,312.69000244140625
1990-10-04,311.5
1990-10-05,313.4800109863281
1990-10-08,305.1000061035156
1990-10-09,300.3900146484375
1990-10-10,295.4599914550781
1990-10-11,300.0299987792969
1990-10-12,303.2300109863281
1990-10-15,298.9200134277344
1990-10-16,298.760009765625
1990-10-17,305.739990234375
1990-10-18,312.4800109863281
1990-10-19,314.760009765625
1990-10-22,312.3599853515625
1990-10-23,312.6000061035156
1990-10-24,310.1700134277344
1990-10-25,304.7099914550781
1990-10-26,301.8800048828125
1990-10-29,304.05999755859375
1990-10-30,304.0
1990-10-31,307.0199890136719
1990-11-01,311.8500061035156
1990-11-02,314.5899963378906
1990-11-05,311.6199951171875
1990-11-06,306.010009765625
1990-11-07,307.6099853515625
1990-11-08,313.739990234375
